ensgene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000000419.8,21.65820882,0.026477518,0.203151684,0.130333734,0.896302392,0.999968843
ENSG00000001036.8,16.90545871,-0.193294917,0.37755454,-0.511965548,0.608675122,0.999968843
ENSG00000001084.6,56.33426347,-0.153591089,0.375655121,-0.40886196,0.682640967,0.999968843
ENSG00000001167.10,26.50374009,-0.070744831,0.237694022,-0.297629828,0.765985707,0.999968843
ENSG00000001460.13,36.56709641,0.06285372,0.173675031,0.361904183,0.717423634,0.999968843
ENSG00000001461.12,243.8872214,-0.134587324,0.333463326,-0.403604574,0.686503521,0.999968843
ENSG00000001497.12,27.71836101,-0.101623149,0.276037409,-0.368149916,0.712761453,0.999968843
ENSG00000001561.6,86.44986039,-0.158588186,0.399658325,-0.396809414,0.691508008,0.999968843
ENSG00000001629.5,91.16285224,-0.167275915,0.378209761,-0.442283441,0.658284112,0.999968843
ENSG00000001631.10,31.43374224,0.010231602,0.184583524,0.055430743,0.955795304,0.999968843
ENSG00000002330.9,32.22971473,0.044229248,0.22882659,0.193287186,0.846734061,0.999968843
ENSG00000002549.7,46.69537256,-0.142299868,0.235316856,-0.604716003,0.545367713,0.999968843
ENSG00000002587.5,13.65684103,0.076635773,0.342313717,0.223875846,0.822853911,0.999968843
ENSG00000002746.9,87.43973301,0.108669949,0.35788604,0.303644001,0.761399125,0.999968843
ENSG00000002822.11,25.67985299,0.001885226,0.197999642,0.009521362,0.992403167,0.999968843
ENSG00000002834.13,172.1657061,0.053343851,0.168782982,0.316049937,0.751964605,0.999968843
ENSG00000002919.10,41.98055314,-0.011345375,0.150382183,-0.075443608,0.939861764,0.999968843
ENSG00000003056.3,49.88481227,0.009755307,0.140486724,0.069439349,0.944639908,0.999968843
ENSG00000003137.4,75.72118573,0.082767746,0.406226233,0.203747909,0.838550501,0.999968843
ENSG00000003147.13,40.8794453,0.116201998,0.28311842,0.410436022,0.681486127,0.999968843
ENSG00000003249.8,119.9851374,0.048869672,0.355999866,0.13727441,0.890813897,0.999968843
ENSG00000003393.10,70.031964,0.046111238,0.168416833,0.273792333,0.784244216,0.999968843
ENSG00000003402.14,10.92788356,-0.310020426,0.442932421,-0.699927148,0.483972802,0.999968843
ENSG00000003509.11,13.93143494,0.059039473,0.253773519,0.232646311,0.816036063,0.999968843
ENSG00000003756.12,53.95684935,-0.040411856,0.146177286,-0.276457837,0.782196439,0.999968843
ENSG00000003987.9,31.29272123,0.031295433,0.180823108,0.173072088,0.862594764,0.999968843
ENSG00000004059.6,117.9152002,0.04244131,0.175332131,0.242062362,0.808731842,0.999968843
ENSG00000004142.7,109.5719058,0.008817057,0.134424994,0.065590906,0.947703529,0.999968843
ENSG00000004399.8,100.783785,-0.025977138,0.205452617,-0.126438585,0.899384761,0.999968843
ENSG00000004455.12,38.94725696,-0.178058957,0.351396864,-0.506717548,0.612353016,0.999968843
ENSG00000004478.5,127.0150215,-0.010741581,0.096691452,-0.111091317,0.911543934,0.999968843
ENSG00000004487.11,64.72151425,0.041319513,0.142440671,0.290082268,0.771753301,0.999968843
ENSG00000004534.10,38.23047966,-0.015398529,0.159117346,-0.096774672,0.922905338,0.999968843
ENSG00000004660.10,241.1114099,0.126573988,0.30387707,0.416530238,0.677022046,0.999968843
ENSG00000004700.11,10.71802059,-0.094492226,0.33727659,-0.28016242,0.779352897,0.999968843
ENSG00000004766.11,65.81534527,0.057520526,0.178452577,0.322329476,0.747203105,0.999968843
ENSG00000004777.13,64.76477495,0.054108517,0.146668335,0.368917508,0.712189213,0.999968843
ENSG00000004779.5,63.09028371,0.02659698,0.154267065,0.172408673,0.863116254,0.999968843
ENSG00000004799.7,31.005149,-0.314076538,0.685326245,-0.458287626,0.646745813,0.999968843
ENSG00000004864.9,16.25087489,-0.358959893,0.57359617,-0.625805944,0.531442233,0.999968843
ENSG00000004866.14,23.22739055,0.049518108,0.208843546,0.237106241,0.812574371,0.999968843
ENSG00000004897.6,71.0889535,0.038549586,0.152333421,0.253060596,0.800221388,0.999968843
ENSG00000004961.10,22.67163739,0.076603977,0.221360368,0.346060034,0.729297598,0.999968843
ENSG00000004975.7,22.86957397,-0.160539417,0.321863739,-0.498780688,0.617933894,0.999968843
